Version,JavaScript,Java,C++,C,C+C++ Header,Objective-C,Ruby,BUCK,XML,Markdown,JSON,Makefile,Bash,HTML,CSS,Bourne Shell,Bourne Again Shell,YAML,Objective-C++,make,Gradle,ProGuard,awk,Python,DOS Batch,Assembly,JSX,Sass,Dockerfile,Kotlin,Starlark,CMake,Aggregate stats
48,1972,59895,4016,0,5865,0,0,0,468,61,0,0,0,0,0,0,0,0,0,218,263,46,0,15,0,0,0,0,0,0,0,0,72819
49,1972,60203,4043,0,5880,0,0,0,436,61,0,0,0,0,0,0,0,0,0,219,263,42,0,15,0,0,0,0,0,0,0,0,73134
50,1972,61584,4083,0,5900,0,0,0,448,61,0,0,0,0,0,0,0,0,0,221,263,42,0,15,0,0,0,0,0,0,0,0,74589
51,1972,62418,4095,0,5917,0,0,0,448,61,0,0,0,0,0,0,0,0,0,222,263,42,0,15,0,0,0,0,0,0,0,0,75453
52,1972,62741,4056,0,5901,0,0,0,488,61,0,0,0,0,0,0,0,0,0,221,263,46,0,15,0,0,0,0,0,0,0,0,75764
53,1972,62903,4058,0,5901,0,0,0,456,61,0,0,0,0,0,0,0,0,0,221,263,46,0,15,0,0,0,0,0,0,0,0,75896
54,1972,64053,4181,0,5908,0,0,0,664,61,0,0,0,0,0,0,0,0,0,221,263,42,0,15,0,0,0,0,0,0,0,0,77380
55,1972,65342,4265,0,5908,0,0,0,664,61,0,0,0,0,0,0,0,0,0,221,263,42,0,15,0,0,0,0,0,0,0,0,78753
56,2095,67726,4653,0,5948,0,0,0,707,61,0,0,0,0,0,0,0,0,0,201,265,73,0,15,0,0,0,0,0,0,0,0,81744
57,2095,62183,4764,0,5954,0,0,0,697,25,0,0,0,0,0,0,0,0,0,182,267,72,0,15,0,0,0,0,0,0,0,0,76254
58,2313,62003,4123,0,5953,0,0,0,713,25,0,0,0,0,0,0,0,0,0,182,282,72,0,15,0,0,0,0,0,0,0,0,75681
59,2323,64210,4570,0,6167,0,0,0,713,25,0,0,0,0,0,0,0,0,0,183,371,71,0,15,0,0,0,0,0,0,0,0,78648
60,2338,64919,5292,0,6351,0,0,0,788,25,0,0,0,0,0,0,0,0,0,254,388,71,0,15,0,0,0,0,0,0,0,0,80441
61,2338,65452,5469,0,6462,0,0,0,790,25,0,0,0,0,0,0,0,0,0,287,402,71,0,15,0,0,0,0,0,0,0,0,81311
62,2302,69542,4652,0,3158,0,0,0,792,25,0,0,0,0,0,0,0,0,0,279,449,74,0,15,0,0,0,0,0,0,0,0,81288
63,2302,71029,6112,0,3903,0,0,0,793,25,0,0,0,0,0,0,0,5,0,282,450,75,0,15,0,0,0,0,0,0,0,0,84991
64,2302,69522,5626,0,4175,0,0,0,782,25,0,0,0,0,0,0,0,5,0,447,455,75,0,15,0,0,0,0,0,0,0,0,83429
65,2303,71075,5228,0,3639,0,0,0,786,25,0,0,0,0,0,0,0,5,0,530,391,72,0,0,0,0,0,0,0,0,0,0,84054
