Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version,Starlark
0.57-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,
0.58-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,247,
0.59-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,249,
0.60-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,258,
0.61-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,277,
0.62-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,275,
0.63-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,268,
0.64-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,330,
0.65-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,369,
