Version,JavaScript,Java,C++,C,C+C++ Header,Objective-C,Ruby,BUCK,XML,Markdown,JSON,Makefile,Bash,HTML,CSS,Bourne Shell,Bourne Again Shell,YAML,Objective-C++,make,Gradle,ProGuard,awk,Python,DOS Batch,Assembly,JSX,Sass,Dockerfile,Kotlin,Starlark,CMake,Aggregate stats
49,1519,67,0,0,4,26,0,0,6,30,0,0,0,27,0,1,20,0,0,0,16,14,0,0,24,0,0,0,0,5,0,0,1759
50,1633,67,0,0,4,26,0,0,6,30,0,0,0,28,0,1,20,0,0,0,16,14,0,0,24,0,0,0,0,5,0,0,1874
51,1577,67,0,0,4,26,0,0,6,30,0,0,0,28,0,1,20,0,0,0,16,14,0,0,24,0,0,0,0,5,0,0,1818
52,1551,67,0,0,4,26,0,0,6,30,0,0,0,27,0,1,20,0,0,0,16,14,0,0,24,0,0,0,0,5,0,0,1791
53,1552,67,0,0,4,26,0,0,6,30,0,0,0,27,0,1,20,0,0,0,16,14,0,0,24,0,0,0,0,5,0,0,1792
54,1629,67,0,0,4,26,0,0,5,30,0,0,0,27,0,1,20,0,0,0,16,14,0,0,24,0,0,0,0,5,0,0,1868
55,1631,67,0,0,4,26,0,0,5,30,0,0,0,27,0,1,20,0,0,0,16,14,0,0,24,0,0,0,0,5,0,0,1870
56,1641,67,0,0,4,26,0,0,5,30,0,0,0,27,0,1,20,0,0,0,17,2,0,0,24,0,0,0,0,5,0,0,1869
57,1646,67,0,0,4,26,0,0,5,30,0,0,0,27,0,22,0,0,0,0,18,2,0,0,23,0,0,0,0,5,0,0,1875
58,1583,74,0,0,4,26,0,0,5,14,0,0,0,27,0,22,0,0,0,0,22,2,0,0,23,0,0,0,0,6,2,0,1810
59,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
