Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version,Gradle
0.11-stable,0,8,0,0,0,0,0,0,0,1,1,0,0,0,12,2,
0.12-stable,0,8,0,0,0,0,0,0,0,1,1,0,0,0,12,2,
0.13-stable,0,8,0,0,0,0,0,0,0,1,1,0,0,0,12,2,
