Version,JavaScript,Java,C++,C,C+C++ Header,Objective-C,Ruby,BUCK,XML,Markdown,JSON,Makefile,Bash,HTML,CSS,Bourne Shell,Bourne Again Shell,YAML,Objective-C++,make,Gradle,ProGuard,awk,Python,DOS Batch,Assembly,JSX,Sass,Dockerfile,Kotlin,Starlark,CMake,Aggregate stats
56,27,751,46,0,83,0,0,0,103,5,0,0,0,0,0,0,0,0,0,10,2,5,0,1,0,0,0,0,0,0,0,0,1033
57,27,696,46,0,83,0,0,0,101,4,0,0,0,0,0,0,0,0,0,10,2,5,0,1,0,0,0,0,0,0,0,0,975
58,30,701,43,0,80,0,0,0,101,4,0,0,0,0,0,0,0,0,0,11,2,5,0,1,0,0,0,0,0,0,0,0,978
59,30,736,50,0,87,0,0,0,100,4,0,0,0,0,0,0,0,0,0,11,2,5,0,1,0,0,0,0,0,0,0,0,1026
60,29,742,58,0,95,0,0,0,101,4,0,0,0,0,0,0,0,0,0,14,2,5,0,1,0,0,0,0,0,0,0,0,1051
61,29,749,62,0,98,0,0,0,101,4,0,0,0,0,0,0,0,0,0,16,2,5,0,1,0,0,0,0,0,0,0,0,1067
62,28,845,49,0,67,0,0,0,101,4,0,0,0,0,0,0,0,0,0,17,2,5,0,1,0,0,0,0,0,0,0,0,1119
63,28,851,50,0,69,0,0,0,101,4,0,0,0,0,0,0,0,1,0,17,2,5,0,1,0,0,0,0,0,0,0,0,1129
64,28,780,53,0,73,0,0,0,101,4,0,0,0,0,0,0,0,1,0,21,2,5,0,1,0,0,0,0,0,0,0,0,1069
65,28,760,56,0,73,0,0,0,101,4,0,0,0,0,0,0,0,1,0,22,1,5,0,0,0,0,0,0,0,0,0,0,1051
