Version,JavaScript,Java,C++,C,C-C++ Header,Objective-C,Ruby,Shell,BUCK,XML,Markdown,JSON,Makefile,Bash,Sum stats for version,Starlark
0.57-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
0.58-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
0.59-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
0.60-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
0.61-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
0.62-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
0.63-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
0.64-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,
0.65-stable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,
