Version,JavaScript,Java,C++,C,C&C++ Header,Objective-C,Ruby,BUCK,XML,Markdown,JSON,Makefile,Bash,HTML,CSS,Bourne Shell,Bourne Again Shell,YAML,Objective-C++,make,Gradle,ProGuard,awk,Python,DOS Batch,Assembly,JSX,Sass,Dockerfile,Kotlin,Starlark,CMake,Aggregate stats
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,11,12,0,0,7,28,0,0,7,0,0,0,0,0,0,22,0,0,0,0,15,3,0,0,24,0,0,0,0,0,2,0,131
60,12,12,0,0,7,28,0,0,7,0,0,0,0,0,0,22,0,0,0,0,21,1,0,0,24,0,0,0,0,0,2,0,136
61,12,11,0,0,7,28,0,0,7,0,0,0,0,0,0,22,0,0,0,0,20,1,0,0,24,0,0,0,0,0,2,0,134
62,12,16,0,0,3,26,0,0,7,0,0,0,0,0,0,22,0,0,0,0,26,1,0,0,24,0,0,0,0,0,2,0,139
63,12,16,0,0,3,26,0,0,7,0,0,0,0,0,0,21,0,0,0,0,24,1,0,0,25,0,0,0,0,0,2,0,137
64,14,16,0,0,3,26,0,0,6,0,0,0,0,0,0,23,0,0,0,0,25,1,0,0,21,0,0,0,0,0,2,0,137
65,14,16,0,0,3,26,0,0,6,0,0,0,0,0,0,23,0,0,0,0,24,1,0,0,21,0,0,0,0,0,2,0,136
